node,r,s,a,x,y,scenario_d,scenario_m,scenario_c,scenario_h,scenario_r,scenario_s,scenario_a,scenario_x,scenario_y,selection,true_x,true_y,true_angle,true_selection
371,-5.80477805194154,10.2241397650169,1.59857381081205,118.051501969434,-28.834113780479,1,0,3,7,-6.04995407611297,9.95692894949917,1.94441224699499,116.633730022259,-27.1459253770172,3,0.604523566829916,-0.79658725645546,5.36155661909355,3
372,-1.83777063583358,5.61887743060955,1.23630706505708,120.415480612885,-25.8416456724129,1,0,3,3,-3.20786534305426,6.32214671793732,1.56355498777362,120.893668358279,-26.8280622918616,3,-0.631663681616794,0.775242538388031,2.25449368140919,3
373,-1.95087301843978,4.94149416722996,0.760976694232654,120.622873300148,-25.8785632537041,0,1,0,7,-1.98749498730673,4.84202236408978,0.94528850213217,120.725495311721,-25.8999922468828,3,0.649191024670606,-0.760625409440895,5.41890936773775,3
374,-2.42626283376365,3.75488668650213,2.52972129684457,121.903815945467,-26.0716215841579,1,1,1,0,-7.05629179557357,4.85115761353919,4.30566753977253,121.237875777501,-25.949314665008,0,0.974868143332446,-0.222782636476791,6.05851739100786,0
375,-2.73226391974811,2.60793852456132,3.65336187279371,126.351034060922,-31.931503028261,1,0,3,0,-6.29331161308525,3.17523912706468,4.35142853496613,122.625169399471,-31.411094550223,0,0.98991065380993,-0.141692969033743,6.14101387683724,0
376,-0.849854014792306,4.00177518639849,1.65039581048174,124.506288293954,-26.3493232380376,0,1,0,7,0.242842066397446,4.00046979966454,3.13184378495248,124.385103756574,-26.2297845398197,3,0.652643846153457,-0.757664840201802,5.42345766215154,3
377,-4.24564988310222,2.16108898526103,1.38220600502521,129.197172367376,-28.0809359947445,0,0,3,6,-4.33783971185723,2.06243111859217,1.9677268443627,129.151218433088,-26.8098722628753,2,0.0855004796786802,-0.996338129338989,4.79799397706985,2
378,-6.99627176518369,-0.0908413428754507,1.1284328232081,131.52590857773,-30.5111114534364,0,1,1,6,-5.92170551720532,0.890972999360741,0.555250947697243,131.585219961977,-30.2328795437262,2,0.0522736966760304,-0.998632795694104,4.76468651303775,2
379,-8.99135457045461,0.963423593504181,3.4979693033747,130.778203559425,-31.8713059574669,0,1,3,4,-8.87593034551508,0.98655639453938,4.05268278640255,131.879731565681,-31.9613227461238,0,-0.998802672899664,0.048920554049257,3.09265256554974,0
380,-0.913486623223149,1.7676227213256,0.852113567711457,120.845656969684,-23.8912356671352,0,0,0,7,-3.16705667191599,0.24388418265337,3.10565278890904,120.828769023874,-23.8583487941976,3,0.739600436414229,-0.673046205290456,5.54486548049986,3
381,1.67489621862654,5.53589939712607,3.12091706125585,133.509225816523,-26.525030088944,1,1,0,5,0.795095026865814,5.73407884188332,4.17330608710952,132.327498485159,-26.6249599068577,1,-0.607782034339708,-0.794103896687257,4.05912442701625,1
382,2.5095648228728,8.411981439357,1.36114663529998,141.092968564619,-23.4064029695391,1,0,1,1,2.37321715212527,8.79336867809286,3.99800384146151,139.665177080087,-25.0804198363976,1,0.538021132191573,0.842931350298053,1.00270858361377,1
383,1.67405487324023,9.90266758562675,0.92584430484169,143.177687447292,-24.0506762611319,0,1,3,5,0.616584853735504,10.8347243813559,0.860365567749777,143.945747279215,-23.9385569759144,1,-0.431114438889626,-0.902297257327586,4.26666145456302,1
384,1.11053688350968,7.68967999987,2.0463475042392,143.482982757874,-25.2724366284076,1,1,2,3,0.869779519317376,7.44848548192967,2.42992395874557,143.930852171986,-25.8342957446809,3,-0.534689452799581,0.845048631183369,2.13493654085592,3
